danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like,track_name
0.66,0.607,8,-8.168,1,0.157,0.14,0.0,0.279,0.425,183.917,audio_features,6004tMws4nCQqtGBaInsF0,spotify:track:6004tMws4nCQqtGBaInsF0,https://api.spotify.com/v1/tracks/6004tMws4nCQqtGBaInsF0,https://api.spotify.com/v1/audio-analysis/6004tMws4nCQqtGBaInsF0,212067,4,1,Chilanga banda
0.803,0.691,5,-6.692,0,0.0443,0.0366,0.0,0.0408,0.9,106.994,audio_features,33J23ecrezwN1Lmk82Ebaq,spotify:track:33J23ecrezwN1Lmk82Ebaq,https://api.spotify.com/v1/tracks/33J23ecrezwN1Lmk82Ebaq,https://api.spotify.com/v1/audio-analysis/33J23ecrezwN1Lmk82Ebaq,175120,4,1,El ciclón
0.791,0.759,9,-5.67,1,0.037,0.0823,4.44e-05,0.0993,0.917,124.725,audio_features,6hFHsQWB7HdVrSe7efRR82,spotify:track:6hFHsQWB7HdVrSe7efRR82,https://api.spotify.com/v1/tracks/6hFHsQWB7HdVrSe7efRR82,https://api.spotify.com/v1/audio-analysis/6hFHsQWB7HdVrSe7efRR82,214880,4,1,Como te extraño mi amor
0.275,0.216,5,-13.818,1,0.0345,0.768,0.897,0.0832,0.181,116.388,audio_features,2nRbh2661Hc6a9meTvSGdF,spotify:track:2nRbh2661Hc6a9meTvSGdF,https://api.spotify.com/v1/tracks/2nRbh2661Hc6a9meTvSGdF,https://api.spotify.com/v1/audio-analysis/2nRbh2661Hc6a9meTvSGdF,283872,4,1,The Great Gig In The Sky - 2011 Remastered Version
0.358,0.48,9,-11.79,1,0.0849,0.521,0.00428,0.178,0.356,120.317,audio_features,23W5DHu31ZLW9q0p2wQxfN,spotify:track:23W5DHu31ZLW9q0p2wQxfN,https://api.spotify.com/v1/tracks/23W5DHu31ZLW9q0p2wQxfN,https://api.spotify.com/v1/audio-analysis/23W5DHu31ZLW9q0p2wQxfN,413947,4,1,Time - 2011 Remastered Version
0.322,0.265,2,-13.398,1,0.0302,0.0726,0.34,0.366,0.207,133.577,audio_features,1KAsyqR4syiVIcplUXJZAS,spotify:track:1KAsyqR4syiVIcplUXJZAS,https://api.spotify.com/v1/tracks/1KAsyqR4syiVIcplUXJZAS,https://api.spotify.com/v1/audio-analysis/1KAsyqR4syiVIcplUXJZAS,226667,4,1,Brain Damage - 2011 Remastered Version
0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE,201726,4,1,R U Mine?
0.599,0.864,0,-4.31,1,0.069,0.0626,0.0,0.0717,0.676,130.199,audio_features,5Z5nbOXhsSbySVC7WUc6y9,spotify:track:5Z5nbOXhsSbySVC7WUc6y9,https://api.spotify.com/v1/tracks/5Z5nbOXhsSbySVC7WUc6y9,https://api.spotify.com/v1/audio-analysis/5Z5nbOXhsSbySVC7WUc6y9,312347,4,1,Four Out Of Five
0.586,0.837,9,-4.333,0,0.03,0.0396,0.0139,0.224,0.777,142.175,audio_features,2URDbWGmPz3vhagl25p8OC,spotify:track:2URDbWGmPz3vhagl25p8OC,https://api.spotify.com/v1/tracks/2URDbWGmPz3vhagl25p8OC,https://api.spotify.com/v1/audio-analysis/2URDbWGmPz3vhagl25p8OC,211968,4,1,Tranquility Base Hotel & Casino
0.478,0.555,9,-6.551,1,0.0403,0.624,3.98e-05,0.126,0.426,131.474,audio_features,3PhbzvTllkq1rkULafc6ns,spotify:track:3PhbzvTllkq1rkULafc6ns,https://api.spotify.com/v1/tracks/3PhbzvTllkq1rkULafc6ns,https://api.spotify.com/v1/audio-analysis/3PhbzvTllkq1rkULafc6ns,217720,3,1,The Ultracheese
0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,audio_features,0BxE4FqsDD1Ot4YuBXwAPp,spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/tracks/0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/audio-analysis/0BxE4FqsDD1Ot4YuBXwAPp,253587,4,1,505
0.524,0.49,8,-8.383,1,0.0274,0.812,0.0,0.219,0.608,89.963,audio_features,6tmKUW2N7MQziHpoHozvCh,spotify:track:6tmKUW2N7MQziHpoHozvCh,https://api.spotify.com/v1/tracks/6tmKUW2N7MQziHpoHozvCh,https://api.spotify.com/v1/audio-analysis/6tmKUW2N7MQziHpoHozvCh,211265,4,1,Mudanza
0.726,0.699,5,-4.933,1,0.0484,0.00397,0.0975,0.11,0.97,94.003,audio_features,6T6Y2bTYB2QqSXOmYfw9iM,spotify:track:6T6Y2bTYB2QqSXOmYfw9iM,https://api.spotify.com/v1/tracks/6T6Y2bTYB2QqSXOmYfw9iM,https://api.spotify.com/v1/audio-analysis/6T6Y2bTYB2QqSXOmYfw9iM,307986,4,1,Tiernos
